OTU,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94
OTU_16S_21,16.30580059,13.02981528,16.82824218,14.84511981,9.367681499,23.67557431,65.2861369,12.31087304,7.200198626,25.6916996,29.30318413,16.7724388,5.894702842,14.81824496,17.28859979,3.342884432,19.66107272,62.01140925,21.90812721,8.814887365,2.452663593,0,18.38154522,31.63252939,35.22043273,20.08928571,12.36048335,37.03232375,20.42011271,27.60985293,20.33004957,26.01226994,16.33418128,27.81890439,5.762232107,10.68334937,0,7.233695018,8.948775972,24.20503085,14.16500994,32.10405005,5.796864794,9.230769231,0,1.725676882,2.775574941,23.26330713,65.84262401,18.5630801,39.53850143,13.02958978,11.86306632
OTU_16S_22,27.44364252,6.361615697,13.53576001,17.53360608,7.259953162,7.969995312,10.30296848,4.134949723,1.32417446,18.61868109,81.44900784,12.69265639,52.89082687,13.31326696,26.44642246,23.87774594,10.28298782,13.52207902,14.36984688,8.080313418,20.79858727,21.32834425,1.757597949,6.059871531,10.16756141,5.133928571,8.578544415,3.181471112,10.97855522,14.79743752,21.27125557,7.852760736,11.11259874,12.1561599,2.122927618,11.35707411,16.17222909,12.95064753,6.994445587,19.83863313,14.91053678,20.25024695,32.98497714,4.074844075,25.79604998,8.330853913,18.83425852,67.98556515,11.14881241,3.265727054,3.370495204,2.689979825,1.807705344
OTU_16S_23,12.91989664,24.90994098,27.98609841,12.9748685,37.00234192,28.12939522,18.76976436,10.43135044,12.08309195,22.57125026,5.537609599,0,22.04457364,12.96596434,9.842519685,26.36103152,19.24975321,11.83181914,24.49941107,13.58961802,0,0,8.421823508,0,6.507239304,21.98660714,7.656120284,5.726648002,21.29839713,11.72967608,10.16502479,18.03680982,18.87802919,7.714486091,19.51071573,0,0,0,24.27484057,21.9269103,15.40755467,0,15.34944481,23.7006237,0,32.25230586,18.23949247,16.23920608,26.01389562,28.87590237,33.5753176,49.59650303,36.26708846
OTU_16S_24,1.96026018,3.06583889,6.402048656,10.52016365,17.44730679,6.563525551,1.8361726,13.25063434,4.800132417,4.368629083,36.62898016,4.533091568,4.764211886,4.167631396,15.1489216,7.927411652,16.20598881,28.20621171,23.91048292,110.675808,20.50426763,7.857811038,1.171731966,12.84692765,11.14364731,2.34375,10.51563509,0,6.294371661,6.857349093,20.51829077,5.153374233,6.024902932,11.37691888,2.628386575,4.716073147,0,8.283747521,35.48652541,7.403891789,25.96918489,29.63450774,32.25016329,26.61122661,13.70415155,39.45254389,78.24477928,26.35648924,2.100500889,0,3.759398496,8.406186954,5.762060784
OTU_16S_25,22.54299207,8.890932781,13.90159137,38.10637054,0,15.23675574,27.84861777,13.15665821,0,40.98190139,11.19058606,34.90480508,8.720930233,11.80828896,26.95994522,0,9.131293189,18.38157617,8.716136631,0,23.54557049,56.31431244,0,26.5422373,19.35903693,6.584821429,28.41066322,18.5797913,8.490082705,23.09843905,16.62797264,11.65644172,0,26.02665004,0,38.01732435,11.22785332,38.1519076,9.771651923,19.26910299,14.66202783,27.32960158,18.61528413,6.819126819,16.12253124,5.236536745,25.70711076,14.11264338,31.26514784,6.359573737,14.77832512,0,0
OTU_16S_26,0,0,0,7.130333139,0,0,29.88880955,92.28455972,45.35297525,7.385063449,10.2099677,13.71260199,10.49741602,14.35517481,11.21191373,14.04011461,9.460348799,8.873864357,0,0,226.822329,0,0,0,0,8.370535714,13.37514989,8.144566047,0,0,0,0,0,0,16.57905378,66.89124158,0,0,21.39477474,25.91362126,24.97514911,61.57392163,0,5.488565489,0,3.153823267,3.039915411,3.157623405,9.775407982,24.23513235,14.77832512,17.73705447,15.81742176
OTU_16S_27,13.18720485,6.821491531,12.43826596,14.26066628,7.142857143,12.18940459,13.36325615,8.833756226,5.793263262,17.05845642,33.45639132,11.33272892,38.19444444,6.019912017,14.37863745,9.933142311,25.83086542,13.41643778,13.19199058,42.11557297,17.16864515,15.52853134,5.053094105,7.029450976,17.24418415,9.933035714,10.97684715,5.599389158,5.855229452,17.59451412,18.38489051,13.37423313,8.167090641,15.19519988,0,20.7892204,16.27523692,17.15085754,18.30898992,11.8652112,9.81610338,10.37207771,46.45656434,9.979209979,28.61749295,6.902707528,26.03753635,28.61193453,23.99418323,7.047095222,6.870624838,6.893073302,9.716416224
OTU_16S_28,14.61284861,27.51590404,25.7911103,12.39041496,34.30913349,17.34646038,16.11751505,11.74701626,25.65588016,15.29020179,7.960313798,2.039891206,9.770671835,22.45890252,18.48681958,17.47851003,23.93879566,24.50876822,23.67491166,4.529872674,0,0,35.22519224,13.81650709,18.46429152,28.125,7.932847523,29.90582846,13.1010759,8.391229811,9.600301186,20.36809816,20.35078324,15.03935167,36.99959563,5.678537055,12.66996292,13.76735503,10.38880889,19.36402468,11.18290258,12.34771156,3.102547355,16.2993763,13.70415155,15.53109194,3.172085646,4.059801521,8.321215059,21.82880715,15.68576614,16.89643578,22.93526155
OTU_16S_29,22.45388933,8.660994865,23.23029084,10.52016365,20.0234192,10.07969995,10.71100683,11.37111174,8.110568567,3.432494279,31.20673743,18.13236627,8.882428941,9.49293818,30.8969531,9.742120344,15.54787759,9.613353053,12.95641932,33.66797258,10.9879329,0,3.661662395,7.271845837,13.74654303,10.15625,26.01236048,28.76049885,9.441557491,19.57953623,13.17688398,7.116564417,10.57705181,7.480713785,5.560048524,45.23580366,32.34445818,12.95064753,8.537337996,11.77028951,7.828031809,7.737899243,63.84715872,5.072765073,22.97460701,16.18565903,27.22706846,14.37040856,10.74486993,7.906497078,5.444646098,7.733691997,0
OTU_16S_30,8.019246191,20.1578907,29.26650814,7.247223846,16.62763466,12.42381622,13.05722738,13.72051499,14.40039725,15.39421677,6.114443932,0,17.11886305,18.40703867,19.34269086,34.19293219,15.21882198,6.655398267,7.067137809,5.631733595,0,0,22.40937386,11.8773482,6.669920286,38.72767857,8.209574762,13.48943752,14.9308351,13.80492646,7.341406789,33.86503067,18.47636899,7.948258396,56.61140315,5.10105871,0,0,22.42336968,25.5339345,9.567594433,0,13.06335728,21.62162162,24.18379686,24.33799464,19.56119482,5.99304034,13.57246728,26.98521829,17.11174488,30.85070612,28.47135917
OTU_16S_31,31.09685467,10.57714417,12.62118164,37.98947984,10.07025761,29.77027661,11.22105478,8.269899446,7.614003145,21.84314541,26.30364559,4.30643699,16.63436693,3.588793702,10.27045532,8.88252149,10.69430734,22.81850835,0,5.631733595,20.50426763,31.05706268,2.050530941,62.29547934,26.43565967,11.27232143,13.55963472,3.945024179,12.22279148,24.18117838,23.96937943,10.9202454,12.71923952,20.80573521,3.538212697,4.716073147,2.575195715,3.96686501,16.35465954,15.47223541,15.2833002,12.84162002,12.0019595,8.066528067,30.63280935,3.451353764,13.34919376,19.78347725,28.11439651,41.76693022,33.9642209,4.707464694,10.39430573
OTU_16S_32,18.17695803,23.30037557,21.2182184,26.18351841,28.80562061,45.71026723,20.09588901,22.93017574,24.3317057,23.09132515,1.269035533,0,8.074935401,5.325306784,4.45053064,10.6017192,10.52977953,9.824635538,19.08127208,9.059745348,4.905327185,0,29.00036617,25.69385529,8.13404913,25.66964286,14.1130892,18.07075592,9.441557491,9.383740864,7.780636255,16.07361963,12.45146606,12.38993221,11.12009705,2.791145332,0,0,20.57189879,15.37731372,12.0526839,6.750082318,13.9614631,18.46153846,21.36235389,24.09997025,13.08485329,8.184044336,7.755695589,39.70436576,21.26004667,26.31136516,32.87764094
OTU_16S_33,27.53274526,13.71962903,15.9136638,20.57276447,22.36533958,23.44116268,14.58737121,17.85546471,14.48315816,22.3632203,6.575911398,7.592928377,8.559431525,6.714517249,5.905511811,19.29321872,11.27015466,13.7333615,14.01648999,7.835455436,32.86569214,0,0,29.93576536,10.81828534,12.38839286,24.99769394,0,14.49169289,23.82026527,17.19269624,12.14723926,17.27138841,22.44214135,0,5.293551492,4.017305315,0,25.92059247,14.23825344,21.62027833,21.8966085,19.59503592,27.94178794,23.37767029,12.31776257,19.42902458,13.72599562,8.725157538,24.92265383,15.68576614,8.826496301,12.99288216
OTU_16S_34,13.90002673,5.748447919,14.63325407,13.79310345,5.152224824,14.53352086,19.17780271,9.397613006,3.475957957,17.26648637,32.87955699,24.1387126,22.20607235,12.50289419,29.52755906,15.95033429,6.581112208,17.11388126,31.44876325,8.325171401,23.3493574,38.3536015,0,6.059871531,13.74654303,5.915178571,12.36048335,6.108424536,12.00322038,18.67725345,19.8908201,6.748466258,7.765430446,9.350892231,4.245855237,17.7093359,4.738360115,12.95064753,8.537337996,12.8144281,16.77435388,12.51234771,17.06401045,8.814968815,25.79604998,5.653079441,17.04996035,31.96288181,32.80012926,9.281540048,12.5745398,5.043712172,6.552931872
OTU_16S_35,7.306424307,1.992795279,3.658313517,11.4552893,0,5.625879044,4.386412323,12.59280143,1.32417446,8.217183274,2.538071066,10.99274705,3.552971576,3.009956008,38.34303321,1.814708691,3.866403422,19.01542362,29.79976443,1.224289912,3.139409399,12.90926099,1.025265471,69.08253545,1.952171791,46.42857143,9.131998893,0,0,36.36199585,1.819664931,2.331288344,1.338867318,10.90937427,0.606550748,139.3647738,125.9785744,24.50122506,2.36576836,39.48742288,2.112326044,1.975633849,9.797517962,26.11226611,12.09189843,2.796786671,12.95268306,5.413068694,8.725157538,0,2.074150894,0.924680565,0.903852672
OTU_16S_36,16.48400606,16.55553001,23.59612219,18.70251315,24.12177986,24.84763244,14.07732327,18.1373931,21.18679136,15.18618681,11.53668666,7.25294651,20.51033592,22.11159991,15.91920575,48.2330468,5.264889766,0,0,0,0,0,39.39948737,23.87589383,6.100536847,40.84821429,20.10884605,15.52557903,3.073995462,4.511413877,0,4.662576687,0,1.948102548,17.08451274,4.138594803,0,3.96686501,44.0238634,33.69719981,29.82107356,8.890352321,10.85891574,11.39293139,24.18379686,20.94614698,5.485064763,3.544271169,4.201001777,15.98487453,12.44490537,16.89643578,21.80544571
OTU_16S_37,11.22694467,4.905342224,5.853301628,13.90999416,3.864168618,45.00703235,4.284402734,17.10365567,1.158652652,8.737258165,31.84125519,8.272892112,20.34883721,7.872192637,40.14036289,19.67526266,11.51694636,6.444115783,25.32391048,5.386875612,50.81918964,5.238540692,0,9.211004727,5.856515373,5.803571429,40.9556314,4.072283024,10.39303228,18.4967969,20.70653197,4.171779141,5.757129468,9.584664537,2.325111201,3.75360924,1.545117429,7.81705752,5.24583419,17.27574751,5.467196819,30.45768851,21.06466362,9.812889813,16.52559452,14.22195775,35.28945282,43.24010826,1.292615931,6.187693365,1.814882033,0,2.146650096
OTU_16S_38,15.3256705,23.37702154,28.53484544,7.48100526,11.70960187,18.51851852,11.42507396,28.56874354,13.07622279,14.7701269,5.826026765,7.366273799,8.155684755,18.17550359,14.80657309,31.61413563,7.732806844,7.606169449,11.07184923,10.52889324,6.278818797,8.231992516,26.36396924,23.87589383,17.97624858,22.54464286,11.43805922,30.28760499,16.3214521,6.315979428,7.592395056,8.466257669,10.44316508,13.71464194,33.05701577,9.817131858,12.9789864,13.41733753,16.56037852,24.39487423,16.02882704,14.15870925,5.551926845,7.983367983,17.73478436,7.795299018,6.872852234,5.090862225,8.886734529,22.00068752,15.29686285,16.64425017,17.96407186
OTU_16S_39,17.82054709,12.41664751,12.07243461,19.87142022,16.39344262,6.094702297,25.50239723,3.853021333,11.58652652,2.80840441,40.20535302,78.19582956,42.71640827,30.90993285,8.216364259,9.455587393,14.56071076,4.120008451,4.122497055,4.529872674,15.99136662,14.4059869,5.053094105,7.393043267,11.06230682,4.6875,44.73757033,9.417154492,4.75737393,3.518902824,13.17688398,5.030674847,8.970411032,9.740512741,7.278608977,36.57362849,17.82035435,35.93513009,9.565932936,8.922638823,7.45526839,2.140270003,5.878510777,6.985446985,7.658202338,13.03183576,7.930214116,14.82149762,0,3.093846683,1.555613171,0,7.117839792
