OTU,V41,V42,V43,V45,V44,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V93,V94
OTU4083,2.148227712,0,0,0,5.896226415,189.7274633,2.557544757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3699,2.148227712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3404,2.148227712,0,0,0,7.075471698,1.048218029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.74045802,0,0,0
OTU3527,2.148227712,5.549389567,0,3.65630713,1.179245283,6.289308176,0,0,0,0,0,7.326007326,0,0,3.267973856,0,10.61946903,2.409638554,0,0,0,6.696428571,0,0,1.200480192,0,0,10.04016064,0,0,1.078748652,3.694581281,0,0,0,0,0,0,1.123595506,0,0,0,0,6.622516556,1.672240803,227.4881517,89.72503618,1.394700139,7.299270073,1.526717557,0,10.38062284,0
OTU1408,1.074113856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.232142857,0,0,0,0,1.404494382,0,2.886002886,0,0,0,1.978239367,0,0,0,0,0,0,0,0,0,0,0,3.344481605,0,0,1.394700139,4.866180049,0,2.427184466,0,0
OTU4573,2.148227712,1.109877913,4.497751124,0,14.1509434,1.048218029,3.836317136,3.03030303,2.493765586,0,0,0,8.72600349,0,1.633986928,5.471956224,0,0,0,0,0,0,0,0,0,0,0,0,21.64502165,5.215123859,6.472491909,0,0,0,0,0,0,0,0,0,4.246284501,0,0,0,0,0,1.447178003,0,1.216545012,0,0,0,0
OTU3051,2.148227712,1.109877913,0,0,3.537735849,17.8197065,2.557544757,0,0,0,0,0,0,0,0,0,7.079646018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989119683,3.361344538,0,3.2,4.524886878,2.877697842,0,0,2.123142251,0,0,0,65.2173913,21.32701422,23.15484805,167.3640167,368.6131387,4.580152672,0,0,0
OTU3141,2.148227712,0,0,0,0,1.048218029,0,1.515151515,2.493765586,0,0,0,0,0,0,0,1.769911504,0,0,0,0,0,0,0,0,0,0,0,0,0,1.078748652,0,0,0,1.366120219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.13592233,3.460207612,5.385996409
OTU1222,6.444683136,41.0654828,1.499250375,0,0,0,0,0,0,0,0,0,0,0,3.267973856,0,1.769911504,0,0,0,0,0,0,0,1.200480192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1748,2.148227712,7.769145394,7.496251874,0,0,2.096436059,0,6.060606061,127.1820449,0,7.8125,14.65201465,0,0,0,0,0,4.819277108,0,0,0,2.232142857,352.1126761,11.32686084,13.20528211,5.037783375,2.808988764,60.24096386,0,0,0,0,4.945598417,3.361344538,6.830601093,1.6,64.85671192,33.09352518,6.741573034,0,0,25.56818182,5.780346821,0,0,0,0,0,1.216545012,1.526717557,0,0,0
OTU3700,7.518796992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.400960384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2662,3.222341568,0,0,0,0,0,0,3.03030303,0,3.189792663,0,0,0,0,0,0,0,0,0,0,0,0,28.16901408,1.618122977,13.20528211,0,8.426966292,4.016064257,0,2.60756193,0,0,0,0,0,0,0,0,0,0,0,2.840909091,1.445086705,0,0,0,0,0,0,0,0,0,0
OTU2266,1.074113856,0,0,0,0,2.096436059,2.557544757,0,0,0,2.604166667,1.831501832,1.745200698,4.807692308,0,0,3.539823009,0,3.311258278,3.105590062,0,0,0,1.618122977,1.200480192,0,1.404494382,0,0,1.303780965,4.314994606,0,0.989119683,0,0,0,0,1.438848921,4.494382022,0,4.246284501,2.840909091,4.335260116,0,0,0,0,4.184100418,1.216545012,4.580152672,0,0,0
OTU3252,4.296455424,0,0,0,7.075471698,0,0,0,0,0,2.604166667,0,0,0,0,0,0,24.09638554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.70568562,0,0,0,0,0,0,0,0
OTU1640,1.074113856,0,0,0,0,0,8.95140665,0,0,0,0,0,0,0,0,0,12.38938053,0,0,0,0,2.232142857,0,0,0,0,0,0,2.886002886,0,2.157497303,0,2.96735905,0,0,0,0,0,1.123595506,0,0,0,0,0,1.672240803,4.739336493,1.447178003,8.368200837,1.216545012,0,0,0,0
OTU1569,2.148227712,382.9078801,2.99850075,0,3.537735849,54.50733753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.032128514,0,2.60756193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.184100418,0,0,0,0,0
OTU2372,2.148227712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU4167,5.37056928,0,0,0,0,2.096436059,15.34526854,3.03030303,14.96259352,70.1754386,2.604166667,0,0,0,3.267973856,1.367989056,1.769911504,2.409638554,0,0,0,0,0,0,10.80432173,5.037783375,0,0,7.215007215,2.60756193,18.33872708,17.24137931,32.64094955,10.08403361,17.75956284,12.8,0,25.89928058,0,0,0,0,0,0,1.672240803,0,0,0,0,3.053435115,4.854368932,13.84083045,16.15798923
